Fonctions,Poids w,Longueur,Sommets traités,Itérations
h0,1,154.81,1636,1635
h0,10000,156.47,1208,1207
h0,100000,156.47,1208,1207
h0,1000000,156.47,1208,1207
h,1,154.81,1531,1530
h,10000,156.47,1272,1271
h,100000,156.47,1272,1271
h,1000000,156.47,1272,1271
h1,1,156.47,1223,1222
h1,10000,156.47,1208,1207
h1,100000,156.47,1208,1207
h1,1000000,156.47,1208,1207
h2,1,154.81,1673,1672
h2,10000,186.08,1075,1074
h2,100000,186.08,1075,1074
h2,1000000,186.08,1075,1074
h3,1,167.05,1304,1303
h3,10000,169.05,1251,1250
h3,100000,169.05,1251,1250
h3,1000000,169.05,1251,1250
h4,1,154.81,2012,2011
h4,10000,169.46,816,815
h4,100000,169.46,821,820
h4,1000000,169.46,821,820
h5,1,154.81,2013,2012
h5,10000,188.41,1692,1691
h5,100000,194.07,1411,1410
h5,1000000,194.07,1401,1400
h6,1,154.81,2013,2012
h6,10000,191.36,1735,1734
h6,100000,191.36,1684,1683
h6,1000000,191.36,1684,1683
